u_neighborhood,u_hr_0,u_hr_1,u_hr_2,u_hr_3,u_hr_4,u_hr_5,u_hr_6,u_hr_7,u_hr_8,u_hr_9,u_hr_10,u_hr_11,u_hr_12,u_hr_13,u_hr_14,u_hr_15,u_hr_16,u_hr_17,u_hr_18,u_hr_19,u_hr_20,u_hr_21,u_hr_22,u_hr_23
Allerton,0,3,4,1,1,1,3,1,1,3,0,2,2,2,4,6,5,5,4,2,1,1,0,1
Alley Pond Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arden Heights,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrochar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Arverne,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Astoria,53,24,23,41,40,51,55,57,51,62,56,53,66,68,53,81,72,91,74,68,71,85,112,65
Bath Beach,2,1,0,1,0,1,2,3,5,3,0,3,2,0,5,6,6,1,2,2,5,1,3,1
Battery Park City,54,28,17,51,86,123,167,193,208,195,204,214,201,238,282,414,541,614,603,489,313,220,175,87
Bay Ridge,5,10,7,4,6,12,14,16,14,21,7,16,15,11,9,12,17,24,22,29,17,24,16,10
Bay Terrace,1,1,0,0,1,0,1,1,0,2,1,0,1,3,1,1,1,2,4,4,1,1,0,1
"Bay Terrace, Staten Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Baychester,2,0,0,1,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,3,2,0,0
Bayside,5,4,0,3,3,6,4,4,5,3,7,4,1,4,8,4,10,8,9,3,4,5,5,5
Bayswater,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bedford-Stuyvesant,145,100,83,56,103,174,224,250,270,226,197,221,205,205,190,186,182,212,240,233,222,245,245,207
Belle Harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellerose,0,1,0,1,2,0,1,0,2,1,1,0,2,5,2,0,1,1,0,0,1,0,1,1
Belmont,5,2,1,3,3,1,2,2,2,5,9,3,8,8,6,9,10,10,6,7,13,17,5,6
Bensonhurst,1,1,3,0,3,2,6,4,5,5,7,5,7,8,4,8,5,3,0,5,6,8,3,4
Bergen Beach,1,0,2,0,0,1,0,4,3,3,2,2,0,0,0,0,1,3,2,3,2,2,0,3
Bloomfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boerum Hill,20,20,11,14,41,52,80,114,92,70,50,62,61,63,68,72,58,97,86,95,92,105,95,74
Borough Park,6,3,4,8,1,6,6,7,7,9,14,16,11,13,6,24,23,14,15,14,8,12,7,7
Breezy Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Briarwood,1,2,2,0,2,2,4,6,1,3,0,0,2,1,1,1,3,2,2,0,2,3,0,1
Brighton Beach,4,2,0,1,0,1,9,8,3,4,6,4,4,5,5,6,5,9,7,5,4,2,6,4
Broad Channel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bronx Park,0,0,0,0,0,0,0,0,0,1,2,3,8,7,6,18,12,7,2,11,7,0,1,1
Bronxdale,1,0,0,0,1,1,7,2,3,1,0,1,3,1,0,0,3,0,0,1,0,0,1,0
Brooklyn Heights,36,19,15,17,38,85,104,182,130,113,102,98,109,126,137,136,161,169,189,176,128,138,111,66
Brownsville,6,2,1,2,1,6,14,3,6,5,11,9,16,22,14,13,14,6,10,18,7,11,7,6
Bull's Head,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1
Bushwick,125,101,76,61,85,108,97,91,113,114,108,101,99,105,89,71,64,82,96,130,113,135,159,144
Cambria Heights,0,0,1,1,0,2,2,1,0,0,1,1,2,1,1,1,1,1,0,1,3,0,1,2
Canarsie,7,5,3,2,6,6,4,5,10,8,4,7,9,14,6,11,10,11,12,13,15,13,7,7
Carroll Gardens,33,12,4,31,29,53,52,85,95,51,44,67,68,61,61,63,67,91,101,112,106,148,109,72
Castle Hill,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Castleton Corners,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Central Park,26,6,5,15,28,44,175,242,202,174,161,163,155,187,252,347,362,285,295,174,142,166,120,76
Charleston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,1046,866,618,537,410,503,995,1602,1473,1187,1262,1391,1434,1717,2198,3083,3885,4189,3768,3029,3155,3367,2762,1665
"Chelsea, Staten Island",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Chinatown,115,92,84,56,31,46,84,106,139,118,104,125,124,138,123,169,192,214,239,234,241,275,222,168
City Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Civic Center,25,11,16,6,12,27,17,41,53,41,47,49,55,69,83,140,80,82,85,92,55,38,41,41
Claremont Village,1,1,1,0,1,1,1,3,4,1,6,0,2,2,4,3,1,0,1,2,1,2,0,2
Clason Point,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,2,1,2,3,2,3,0,0,0
Clifton,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Clinton Hill,39,29,25,28,40,78,124,174,163,112,92,102,117,92,80,93,102,122,137,125,124,129,115,75
Co-op City,2,0,1,0,0,0,1,0,1,1,0,0,0,5,2,2,2,0,1,1,0,7,2,0
Cobble Hill,13,9,7,9,14,30,52,71,71,49,32,33,34,39,41,37,42,53,61,48,55,65,60,22
College Point,1,0,5,6,3,1,3,2,1,4,5,6,4,4,8,5,6,7,5,2,1,3,4,1
Columbia St,10,4,2,5,2,15,24,20,20,12,20,13,13,19,10,16,15,25,30,36,26,32,23,9
Concord,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0
Concourse,4,1,3,2,2,0,1,3,2,4,3,7,2,13,37,57,21,19,5,25,75,100,42,9
Concourse Village,0,0,2,2,0,2,1,11,3,4,3,0,4,3,10,6,4,3,4,7,6,5,7,1
Coney Island,0,1,1,1,0,1,0,0,0,0,0,2,1,1,2,0,1,0,2,2,6,2,0,0
Corona,2,2,1,0,4,0,1,0,2,3,3,3,7,3,6,1,4,3,7,6,11,5,1,2
Country Club,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0
Crotona Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Crown Heights,110,65,49,51,68,106,147,123,131,118,115,111,125,131,130,108,115,131,152,150,142,177,157,138
Cunningham Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cypress Hills,4,3,10,3,3,2,3,0,6,5,2,0,9,8,5,4,7,9,7,2,4,5,9,6
DUMBO,19,8,3,13,19,39,63,84,84,87,95,93,87,104,99,110,184,249,204,135,130,148,114,66
Ditmars Steinway,24,11,7,16,20,25,35,46,33,28,31,27,27,29,30,32,28,40,56,38,35,33,38,16
Dongan Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Douglaston,0,0,0,0,0,1,2,1,2,1,1,1,2,0,0,1,3,0,2,2,1,0,1,2
